twitter_link,text,date,likes,comments
https://twitter.com/Yessi_Bayu/status/1735581650917224750#m,"Peminat mobil listrik banyak jg nih, bagus sih bisa mengurangi polusi udara jg   #WulingBinguoEV","Dec 15, 2023 · 8:44 AM UTC",0,1
https://twitter.com/Vitaardi2008/status/1735578238058127588#m,"Wuling kali  meluncurkan mobil listrik  yang berbeda ..baik dari segi desain, eksterior dan interior nya juga...biar dunia bebas polusi y..Mobil listrik nya tuh keren banget loh.. #WulingBinguoEV","Dec 15, 2023 · 8:31 AM UTC",1,1
https://twitter.com/sikembar1330610/status/1735575167915720871#m,"Wuling kali  meluncurkan mobil listrik  yang berbeda ..baik dari segi desain, eksterior dan interior nya juga...biar dunia bebas polusi y..Mobil listrik nya tuh keren banget loh.. #WulingBinguoEV","Dec 15, 2023 · 8:19 AM UTC",1,0
https://twitter.com/AdzkiyaThalita/status/1735564243460817279#m,Seharusnya sih kita sudah beralih ke mobil listrik untuk mengurangi polusi udara #WulingBinguoEV,"Dec 15, 2023 · 7:35 AM UTC",1,0
https://twitter.com/Herawatiy81/status/1735563833656455614#m,"per­tumbuhan mobil listrik di Tanah Air semakin subur dan mencatat peningkatan yang signifikan, ini membantu upaya untuk meningkatkan bebasnya polusi udara #WulingBinguoEV","Dec 15, 2023 · 7:33 AM UTC",1,0
https://twitter.com/rayyan0109/status/1735558322202521851#m,"Wuling kali  meluncurkan mobil listrik  yang berbeda ..baik dari segi desain, eksterior dan interior nya juga...biar dunia bebas polusi y..Mobil listrik nya tuh keren banget loh.. #WulingBinguoEV","Dec 15, 2023 · 7:12 AM UTC",3,0
https://twitter.com/alwaysNangis2/status/1735534725216023014#m,Lht sepotong palalu. Ak ntn debat full. Kalian yg lht sepotong. Dulu anies jg blg jejak karbon dari mobil listrik itu lbh tinggi dari mobil bbm. Skrg malah bilang elektrifikasi utk tekan polusi. Lidah ga bertulang. Cmn yg modelan kalian aja msh percaya omongan dia,"Dec 15, 2023 · 5:38 AM UTC",0,1
https://twitter.com/saputrananda0/status/1735474060874895671#m,"Coba cek deh, semua berita,, kenapa anies menolak mobil listrik. Karena pemerintah men-subsidi mobil listrik. Solusi soal polusi udara bukan memberikan subsidi mobil listrik. Justru anies lebih  ke subsidi transportasi umum... Yang beli mobil listrik justru orang2 kaya dan mampu.","Dec 15, 2023 · 1:37 AM UTC",0,0
https://twitter.com/_antithesis_/status/1735180046955159737#m,"Pemerintah sebenernya tau penghasil polusi terbesar itu dari electric power, mereka lg mikir ngalihin energi dari batu bara ke yg ramah lingkungan. Jd sblm energi alternatif ada jgn buru2 suruh pindah ke motor/mobil listrik dulu lah, sama aja bikin konsumsi listrik makin gede","Dec 14, 2023 · 6:08 AM UTC",1,1
https://twitter.com/BayuWildan58/status/1735163148594970890#m,menunjukkan komitmen yang kuat dalam mendukung transisi ke mobil listrik di Indonesia. Ini adalah langkah yang positif untuk mengurangi polusi udara dan mengurangi ketergantungan kita pada bahan bakar fosil. Semoga kerjasama ini dapat,"Dec 14, 2023 · 5:01 AM UTC",0,0
https://twitter.com/StephanuSatya/status/1735156438392320164#m,waktu ktt di jakarta biar langit biru diapakan? pembangkit listrik batubara nya dimatikan/dikurangi efek langit biru tetapi masyarakat tetap kerja lalu lalang naik mobil memang polusi juga tetapi lebih banyak batubara,"Dec 14, 2023 · 4:35 AM UTC",0,0
https://twitter.com/TriSartopo/status/1735133092770414859#m,"Anies sebelumnya menilai mobil listrik menghasilkan emisi lebih tinggi dari pada BBM. Kemarin ada Perubahan..., di acara debat mengatakan akan mengatasi polusi udara antara lain dg penggunaan mobil listrik.  Barangkali Perubahan prinsip itu terjadi setelah ""melet"". 😎","Dec 14, 2023 · 3:02 AM UTC",1,1
https://twitter.com/__imugi/status/1734847923400401292#m,"Liat konteksnya, mobil listrik tidak menyelesaikan masalah polusi nasional, tapi dalam konteks polusi di Jakarta jelas membantu dan karena hanya itu yang bisa dia kerjakan. Kalau dia jadi presiden baru bisa ngurus PLTU dll😅","Dec 13, 2023 · 8:09 AM UTC",0,0
https://twitter.com/CHELFANIDN/status/1734814614846861368#m,"ga ada bilang nambah polusi karena mobil listrik, hoaks ini","Dec 13, 2023 · 5:56 AM UTC",0,0
https://twitter.com/alfeeii/status/1734742955754447258#m,Menurunkan polusi udara ya transum seh bukan mobil listrik pribadi.   Laporan orang bakar2 sembarangan juga mengurangi polusi udara via JAKI  RTH dan memperluas ruang jalan kaki+pesepeda juga mengurangi polusi. Ruang pedestrian juga makin banyak jadi komunitas makin erat.,"Dec 13, 2023 · 1:12 AM UTC",2,0
https://twitter.com/emyr_za/status/1734602592733569333#m,"Gw dulu pernah mikir gini waktu awal² ikn gembar gembor, waktu itu pas samaan dengan kampanye mobil listrik lebih go green(waspada greenwashing)   Gw mikir gini. Kok bisa ada orang mikir ngurangi polusi tapi sambil nebangin hutan buat ibu kota baru","Dec 12, 2023 · 3:54 PM UTC",140,6
https://twitter.com/deddysitorus/status/1734586866123571478#m,"Beberapa bulan lalu Pak Anies menyerang program pemerintah soal mobil listrik, katanya nambah polusi. Hari ini dia mengulang-ulang mengatakan elektrifikasi mobil jadi cara mengatasi polusi😂😂","Dec 12, 2023 · 2:51 PM UTC",157,53
https://twitter.com/studitb/status/1733435617059762212#m,"-pakar A bilang kalo mobil listrik masih butuh batu bara -pakar b bilang penggunaan mobil listrik efektif ngurangin polusi  menurut data, penggunaan mobil listrik belum ningkat, alesannya katanya harganya mahal  jawabannya: gak relevan sama pakar A dan B","Dec 9, 2023 · 10:37 AM UTC",0,1
https://twitter.com/lisaanalisalis/status/1733029278634357192#m,PKS menilai bahwa kebijakan pembatalan subsidi mobil listrik tidak sejalan dengan semangat untuk mengurangi polusi udara dan mendukung mobilitas ramah lingkungan  PilihPKS Nomer8 🌍💙  KampanyeGagasanPKS PKSday #PartaiKeadilanSejahtera,"Dec 8, 2023 · 7:42 AM UTC",0,0
https://twitter.com/andinilanidiani/status/1733028157165563945#m,PKS menilai bahwa kebijakan pembatalan subsidi mobil listrik tidak sejalan dengan semangat untuk mengurangi polusi udara dan mendukung mobilitas ramah lingkungan  PilihPKS Nomer8 🌍💙  KampanyeGagasanPKS PKSday #PartaiKeadilanSejahtera,"Dec 8, 2023 · 7:38 AM UTC",1,0
https://twitter.com/muspul/status/1732619331148935425#m,"kapitalisme hijau ☺️ pertumbuhan hijau 🤤 kapitalisme iklim 💪🏻😤  mnghentikan fossil fuel tdk realistis 🥺 masa depan energi butuh pmbangunan thus emisi 😔 mobil listrik bebas polusi 🥰 kenaikan 3° bisa dimenej 😎 sustainable hrus mnimbang politik, ekonomi ☝🏻🤓 how about china😡","Dec 7, 2023 · 4:33 AM UTC",0,0
https://twitter.com/wonpilT_____T/status/1731710998908981675#m,"gw bukan anak teknik jadi agak bingung tapi yg gw pahamin tuh berarti walaupun emisi(?) dari manufacturing dan produksinya mobil listrik lebih besar dia ujung2nya lebih kecil, tapi justru itu makanya di awal2 berasa banget polusi ya?","Dec 4, 2023 · 4:24 PM UTC",1,1
https://twitter.com/heni_asmara6/status/1730828099871478034#m,bahwa Amerika Serikat telah melampaui target penjualan mobil listrik tahun ini. Semoga Indonesia dapat segera mengejar ketertinggalan ini dan memberikan kontribusi positif dalam mengurangi polusi udara.,"Dec 2, 2023 · 5:55 AM UTC",0,0
https://twitter.com/sutrisnabagus/status/1730423020001579370#m,"dengan penuh semangat! Ini adalah terobosan besar dalam industri otomotif Tanah Air. Tidak hanya mengurangi polusi udara, mobil listrik juga memberikan performa yang luar biasa. Jadi tunggu apa lagi? Segera dapatkan Omoda 5 EV dan","Dec 1, 2023 · 3:06 AM UTC",0,0
https://twitter.com/introvertabiss/status/1730078661146288446#m,"Sblom masif mobil listrik, kalo listrik masih dari batu bara/panas thermal sama aja, menyumbang polusi n kerusakan alam masif juga,","Nov 30, 2023 · 4:17 AM UTC",0,0
https://twitter.com/muhararpajidi/status/1730020138399981806#m,"Mobil listrik bukan solusi untuk mengatasi polusi. Sekalipun twmpat pengisian listrik sudah disediakan banyak, ttp aja kurang efisien. Satu mobil aja bisa 30 menit untuk full charging. Bayangin semua orang beraloh ke full listrik, apa ga padet bgt tuh bsok yg antri cas. Hahahaha","Nov 30, 2023 · 12:25 AM UTC",2,1
https://twitter.com/_dika7/status/1729765923429454093#m,"Karena mobil/motor listrik tidak menyelesaikan kemacetan, tapi untuk mengurangi polusi udara (atau bahkan cuma mindahin polusinya ke pabrik pembuatan baterai listrik). Subsidi transportasi umum lebih urgent, IMO.","Nov 29, 2023 · 7:35 AM UTC",2,1
https://twitter.com/KailaSheryl/status/1729534152406683952#m,"oleh para pejabat dari kedua perusahaan. Ini merupakan langkah positif dalam mengurangi polusi udara dan mendukung keberlanjutan lingkungan di Indonesia. Selamat datang, mobil listrik NETA! 🚗 💚","Nov 28, 2023 · 4:14 PM UTC",0,0
https://twitter.com/randhilicious/status/1728387464430256233#m,"Kalo ngomong soal kebijakan, apa kabar tu kebijakan mobil LCGC 13 thn yg lalu yg sarat polusi dan macet? Bagus mana dibanding sama Bus Listrik TransJkt? Itu aja dulu jawab, wkwkwk 🫠","Nov 25, 2023 · 12:17 PM UTC",0,1
https://twitter.com/CyvaArd/status/1727245544895262793#m,"Mobil listrik tidak akan pernah menjadi solusi atas polusi dan krisis iklim. Mobil listrik hanya memindahkan polusi di kota besar (kebanyakan di negara maju) ke wilayah Indonesia Timur.  Maka kalo permintaan mobil listrik semakin meningkat, deforesrasi di Indonesia semakin masif.","Nov 22, 2023 · 8:40 AM UTC",10,1
https://twitter.com/Polusi_udara01/status/1726662043066061093#m,Ngeri harga batre mobil listrik ini sih bukan maenan warga akar rumput nih kalau bgini mah yaa,"Nov 20, 2023 · 6:01 PM UTC",1,1
https://twitter.com/vinicintaaaa/status/1725681341629706547#m,"industri mobil listrik yang kuat. Keren banget nih, semoga bisa membantu mengurangi polusi udara dan membuat Indonesia semakin maju di bidang teknologi! 💪 🇮 🇩","Nov 18, 2023 · 1:04 AM UTC",0,0
https://twitter.com/basaheh/status/1725278544002265423#m,simbol api adalah polusi yang meningkat akibat proyek mobil listrik di RRC,"Nov 16, 2023 · 10:23 PM UTC",0,1
https://twitter.com/stylexmayt67642/status/1724704087437103543#m,"Anies Baswedan bikin heboh jagat maya dengan kritiknya Subsidi mobil listrik bukan solusi untuk polusi udara, katanya. Kritik yang membuat kita berpikir 💭🚗 #AnisMuhaiminAmin","Nov 15, 2023 · 8:21 AM UTC",0,0
https://twitter.com/aleranki1975253/status/1724703940405870599#m,"Anies Baswedan tak main-main Kritik kebijakan subsidi mobil listrik, dianggapnya bukan solusi nyata atasi polusi udara. Pemikiran yang bikin merenung 💨🚗 #AnisMuhaiminAmin","Nov 15, 2023 · 8:20 AM UTC",0,0
https://twitter.com/kapomensei95574/status/1724703750441628052#m,Kritik cerdas dari Anies Baswedan Keberanian menyoroti subsidi mobil listrik sebagai solusi polusi udara yang kurang tepat. Insight yang penuh makna 💡🚗 #AnisMuhaiminAmin NO 1,"Nov 15, 2023 · 8:19 AM UTC",0,0
https://twitter.com/busfolkpri23395/status/1724703569448943775#m,"Anies Baswedan berani kritik Menilai kebijakan subsidi mobil listrik, katanya belum jawaban konkret untuk polusi udara. Kritik yang berbobot 💭🚗 #AnisMuhaiminAmin","Nov 15, 2023 · 8:19 AM UTC",0,0
https://twitter.com/cormiresub21453/status/1724703411978080627#m,"Anies Baswedan bersuara keras Kritik kebijakan subsidi mobil listrik, dianggapnya bukan solusi untuk polusi udara. Pemikiran yang memicu diskusi 💨🚗 #AnisMuhaiminAmin","Nov 15, 2023 · 8:18 AM UTC",0,0
https://twitter.com/seymaterni49611/status/1724702845231149427#m,"Anies Baswedan bikin heboh Kritik tajam terhadap subsidi mobil listrik, katanya ini belum jawaban untuk polusi udara. Insight yang bikin mikir 💭🚗 #AnisMuhaiminAmin","Nov 15, 2023 · 8:16 AM UTC",0,0
